CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
6.9273,8.5699,11.127,7.6822,14.496,9.9419,9.0005,11.592,2.11,7.8793,5.9724,8.1386,11.34,12.801,11.349,11.406,6.053,0.62877
6.5323,10.056,10.405,9.1741,4.4711,6.8926,7.3705,7.1868,1.0688,9.4059,9.1207,6.8352,8.2896,6.5579,10.978,7.3303,8.4064,1.1109
6.8379,10.849,7.3134,5.7321,6.5744,2.1237,2.5818,12.934,0.6841,6.0195,6.5682,7.6027,6.6392,7.5391,2.169,3.313,7.7627,1.9763
5.8812,2.6304,4.0917,3.3286,1.3359,0.59514,0.65327,4.5831,1.172,2.7951,2.9798,1.2791,2.7604,5.3468,0.72048,0.94998,4.6545,1.0516
0.004095,0.20138,1.1208,0.46099,0.00025676,2.078,1.3912,2.193,0.20691,0.00044696,0.74659,0.64655,1.497,0.0014736,1.9745,1.0242,1.4346,4.87E-14
0.00028558,2.2594,0.26351,1.7118,0.000054086,1.3306,1.4886,2.0349,0.66198,0.015774,0.72414,0.35326,1.1466,1.55E-05,1.8834,2.939,1.4965,0.012694
0.0023907,2.9443,0.56929,1.3511,0.18534,3.2447,3.0267,1.7778,1.8553,0.00050539,1.9071,3.6899,1.7862,0.17942,1.6969,2.4978,2.9201,1.3964
2.6415,2.8071,4.9297,1.9587,1.4315,1.1339,1.7105,4.8003,2.5392,1.8438,1.6484,3.5938,2.7626,0.95052,1.2031,2.8459,4.6971,2.1546
2.2146,3.9577,5.2604,2.5054,3.4359,1.9183,1.6729,5.1103,1.8346,5.8559,3.9783,4.4061,4.4709,1.8693,0.72056,1.6325,5.77,2.2968
8.4131,3.4625,3.9301,2.842,10.202,1.8874,3.5178,7.436,2.7873,6.894,3.0284,3.1169,3.6541,3.294,4.3565,3.0029,6.2133,3.2919
12.907,6.0691,2.5109,3.0169,5.5267,5.1759,6.6153,8.2488,3.3467,13.098,4.82,3.5689,2.921,5.9574,5.4284,8.1426,7.8635,4.2576
11.668,9.0753,5.7438,6.5615,18.339,8.0707,9.3218,6.8515,3.4804,13.72,7.7489,6.813,5.9119,6.293,9.093,7.8426,9.3453,3.7819
5.2607,7.5288,8.7269,8.1092,6.5338,9.2971,9.1769,5.0744,1.4064,13.557,5.7258,8.5411,8.8385,10.013,8.5682,10.012,7.0759,1.763
8.5468,8.3963,7.8636,8.5083,3.869,6.8272,10.366,6.4015,0.52575,12.85,9.5209,9.1045,7.6838,4.811,9.1731,8.7693,8.1138,1.4441
11.449,6.5057,8.5813,5.93,12.483,2.8323,3.3131,7.6521,0.67289,7.9433,10.323,6.2802,7.8567,4.6194,3.6432,2.1713,8.8389,1.4077
2.5658,3.3419,4.2896,3.7026,1.698,1.1677,0.60576,3.8112,1.3002,2.909,2.3893,2.3215,1.3284,3.5878,0.48959,1.652,4.3739,1.8858
0.0021453,0.70602,0.99314,0.98166,0.30393,1.4439,1.6028,0.95785,0.75595,0.020646,0.096843,0.22926,0.81684,0.0019891,2.0403,1.2115,0.85108,3.32E-18
0.00010429,0.47905,0.81504,0.92579,1.63E-06,2.0318,1.0936,0.7427,0.71099,0.0042505,0.3381,0.21791,0.19776,0.0014046,2.1799,1.0611,0.2783,0.49598
0.0023757,1.3139,2.3412,0.89088,0.082312,1.6775,2.4878,3.5941,0.63638,0.063044,0.26846,1.5017,1.0862,0.70413,1.7758,2.8874,2.0319,1.9611
1.038,2.1105,2.8811,1.1751,1.2369,1.1536,1.7369,3.6554,1.2378,1.3484,2.89,4.1132,1.8073,1.2912,1.7381,2.2791,4.7328,0.87259
4.2523,4.561,2.9781,1.9588,1.5732,2.2531,2.7525,5.8953,2.0124,3.9852,0.97854,9.4519,2.6881,5.086,1.3718,3.5032,5.9981,1.2175
10.482,9.4238,4.9024,3.423,2.7124,2.5339,4.407,6.4763,4.4366,5.4641,3.7439,5.8781,2.4295,4.1083,4.3977,4.3131,7.3553,2.0846
7.4459,4.7815,5.3816,5.1254,7.3492,6.3236,5.1266,7.8469,4.448,12.246,12.756,8.0498,6.3467,6.2848,8.1701,6.5427,9.3987,3.4059
20.814,9.3884,6.6781,6.3599,13.444,9.9902,7.4709,12.283,1.4143,12.066,8.5581,5.9019,8.7515,7.3441,10.08,13.787,6.7877,4.1132
8.4797,5.7002,10.62,9.482,7.2033,12.313,10.58,13.394,1.6375,6.5172,9.6917,7.2638,7.9372,10.445,10.521,9.224,7.4534,1.8384
13.746,8.1408,7.913,10.42,4.4296,8.0984,5.578,6.7707,1.2684,8.6497,9.9996,7.5995,8.0832,4.5339,8.9538,5.9963,8.1606,1.1258
5.7717,5.3477,6.329,7.3101,6.1011,2.7664,2.3687,7.9145,0.94332,7.4238,8.4531,4.8988,3.1731,5.656,2.7543,2.6675,10.628,1.9228
3.1162,1.8253,0.57078,0.88749,2.0647,0.65907,0.8476,3.9977,1.1139,1.6897,2.8273,1.8,2.8039,1.1671,1.2178,1.292,4.1025,3.3024
0.078809,0.47935,0.103,0.99532,0.041874,1.0486,1.2249,1.7858,0.000075967,0.027962,0.34008,0.24633,1.2227,0.0024199,0.28572,1.5303,1.877,0.11295
0.00088652,0.64468,0.99353,1.0485,0.25936,1.6173,2.2198,2.1082,0.0016013,0.0021708,1.246,1.3514,0.97309,0.013325,1.504,0.69183,0.11696,5.01E-11
0.0002012,0.64481,0.35674,2.3827,0.4356,2.2997,2.7734,0.44107,1.0966,0.0047595,1.3418,1.4244,0.54668,0.0079184,2.1167,1.8285,2.0792,1.8226
1.3479,3.3316,1.4751,2.3443,1.8805,1.3285,2.4414,2.2545,1.3515,2.6656,1.4842,2.0363,2.2931,1.5672,1.9187,1.5363,3.8038,1.1657
4.7857,2.4826,3.1634,4.0353,2.1242,2.4013,1.3724,6.8021,2.889,5.009,3.1299,3.6619,3.5185,2.6225,1.4151,1.5365,6.047,1.6077
14.101,3.3612,5.0499,2.7269,5.7165,3.2051,2.4534,5.8488,5.2619,9.1149,3.5709,1.9449,3.9622,11.024,3.5314,2.1957,7.2881,4.8476
11.201,5.4775,7.3538,3.692,7.4126,7.7972,7.0235,7.6581,3.7783,8.1648,5.5941,5.9388,5.7497,4.77,5.9236,7.5504,7.9271,6.3502
10.829,8.4255,6.7746,10.004,12.737,9.1614,9.971,8.5543,3.5811,9.1995,5.5974,6.9795,8.4979,6.3326,10.878,8.8534,12.088,1.4151
8.0929,9.1729,8.4736,9.1316,3.4374,13.003,11.745,8.7768,1.3668,12.464,7.3319,8.9473,10.483,12.181,8.6953,17.552,9.2875,2.4748
10.573,6.2647,7.6103,11.226,12.124,7.8289,12.063,6.7147,1.695,5.5815,10.63,8.6456,8.2255,9.1774,8.0136,12.05,8.0899,1.2612
